,Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
71,Bike02,1280,kcf,0.4,0.1,0.0024,1.0,1.0,1.0,0.0,0.8092,1,0,0,1.0,0.0,44.79,0,0,98,0,0,98,99.0,98
72,Bike02,1280,tld,0.4,0.1,0.0171,1.0,1.0,1.0,0.0,0.5539,1,0,0,0.88,0.0,11.77,0,0,98,0,0,98,99.0,98
73,Bike02,1280,medianflow,0.4,0.1,0.0021,1.0,1.0,1.0,0.0,0.8059,1,0,0,1.0,0.0,45.92,0,0,98,0,0,98,99.0,98
74,Bike02,1280,goturn,0.4,0.1,0.04,1.0,1.0,1.0,0.0,0.062,0,0,1,0.04,0.0,11.58,0,0,98,0,0,98,99.0,98
75,Bike02,1280,mosse,0.4,0.1,0.0032,1.0,1.0,1.0,0.0,0.8005,1,0,0,1.0,0.0,55.41,0,0,98,0,0,98,99.0,98
76,Bike02,1280,csrt,0.4,0.1,0.0024,1.0,1.0,1.0,0.0,0.7477,1,0,0,1.0,0.0,21.12,0,0,98,0,0,98,99.0,98
77,Bike03,1280,mil,0.4,0.1,0.319,0.2571,0.2571,0.2022,0.7889,0.1548,0,0,1,0.2,0.74,15.52,19,52,18,0,0,70,90.0,70
78,Bike03,1280,kcf,0.4,0.1,0.0098,0.1571,0.1571,1.0,0.0,0.8175,1,0,0,1.0,0.84,55.97,0,0,11,59,19,70,90.0,11
79,Bike03,1280,tld,0.4,0.1,0.4081,0.2143,0.2143,0.1685,0.8222,0.1065,0,0,1,0.17,0.79,9.3,19,55,15,0,0,70,90.0,70
80,Bike03,1280,medianflow,0.4,0.1,0.0433,0.8857,0.8857,0.6966,0.3,0.49,1,0,0,0.81,0.11,52.02,19,8,62,0,0,70,90.0,70
81,Bike03,1280,goturn,0.4,0.1,0.3348,0.2286,0.2286,0.1798,0.8111,0.0982,0,0,1,0.1,0.77,12.37,19,54,16,0,0,70,90.0,70
82,Bike03,1280,mosse,0.4,0.1,0.0013,0.0286,0.0286,1.0,0.0,0.8818,1,0,0,1.0,0.97,64.54,0,0,2,68,19,70,90.0,2
83,Bike03,1280,csrt,0.4,0.1,0.0381,1.0,1.0,0.7865,0.2111,0.4595,0,1,0,0.54,0.0,20.44,19,0,70,0,0,70,90.0,70
84,Bike09,1920,mil,0.4,0.1,0.0724,0.8112,0.8112,0.6307,0.3684,0.309,0,1,0,0.36,0.19,10.59,97,64,275,0,0,339,437.0,339
85,Bike09,1920,kcf,0.4,0.1,0.0164,0.2979,0.2979,1.0,0.0,0.5021,0,1,0,0.65,0.7,22.24,0,0,101,238,97,339,437.0,101
